,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
6594,0,1,1.67,3.5,6.0,4,3,3,15,13,95,42,73,30,4,0,6,12,15,106,54,96,58
6595,2,1,8.5,3.6,1.53,2,3,5,14,20,71,35,111,52,7,2,1,18,4,113,51,85,43
6596,0,1,2.6,3.1,2.9,3,4,3,11,11,95,46,81,40,3,3,4,12,11,95,43,80,43
6597,2,2,2.15,3.4,3.4,3,1,6,9,18,102,54,107,48,2,6,2,18,18,108,49,102,52
6598,0,1,1.83,3.75,4.75,4,3,3,15,11,146,73,78,39,5,2,3,15,11,104,58,125,62
6599,1,1,2.1,3.5,3.8,2,1,7,9,20,119,64,104,45,3,4,3,16,16,100,45,118,60
6600,3,2,2.63,3.4,2.88,6,2,2,12,6,98,55,119,59,5,2,3,22,15,145,78,78,36
6601,1,1,1.75,3.3,5.5,4,3,3,14,16,104,50,95,50,5,2,3,9,5,86,37,90,41
6602,3,0,1.8,3.5,4.75,5,2,3,10,9,109,59,87,45,2,5,3,11,16,95,43,86,46
6603,0,2,1.33,5.0,10.0,7,2,1,27,6,93,48,108,55,5,4,1,17,9,76,40,115,66
6604,0,2,2.3,3.5,2.9,6,2,2,24,16,132,74,118,63,4,3,3,13,13,111,60,75,41
6605,1,3,6.5,4.33,1.5,2,5,3,12,14,101,48,128,75,7,2,1,15,4,124,60,88,39
6606,2,0,2.2,3.0,3.8,0,6,4,6,12,112,59,99,38,3,5,2,10,8,99,54,109,48
6607,1,2,2.15,3.25,3.6,2,5,3,13,18,103,51,126,60,3,5,2,11,11,79,39,109,57
6608,0,1,1.91,3.3,4.5,2,3,5,15,16,113,58,114,58,2,3,5,8,18,101,53,170,81
6609,0,0,7.0,4.0,1.53,2,2,6,8,18,111,51,167,87,4,4,2,13,13,103,46,82,44
6610,3,1,1.29,5.5,11.0,7,2,1,25,9,141,70,76,34,4,3,3,12,8,107,59,102,55
